Item,Qty,"price(USD from eur, might not be accurate with american websites)",Description,Source / Link
Microcontroller,1,11.55,AI-Thinker ESP32-CAM,https://www.amazon.nl/dp/B0D46FHMKQ?ref=ppx_yo2ov_dt_b_fed_asin_title
Host Computer,1,1848.36,HP Victus Laptop (with OMEN Gaming Hub key),Owner's Hardware
USB Programming Cable,1,10.39,USB-to-Type-C cable,https://www.amazon.nl/SUNGUY-USB-compatibel-Android-Auto/dp/B0B28ZCV2Y/ref=asc_df_B0B28ZCV2Y?mcid=637835adbbfa3ec5b925935d5940d08b&tag=nlshogostdde-21&linkCode=df0&hvadid=709872675246&hvpos=&hvnetw=g&hvrand=5630318727742800812&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9065081&hvtargid=pla-1725998624389&hvocijid=5630318727742800812-B0B28ZCV2Y-&hvexpln=0&gad_source=1&th=1
Pcb board,"1, if youre sure you wont mess the milling up;)",19.36,single sided,https://www.amazon.nl/gp/product/B015PCKPXE/ref=ewc_pr_img_1?smid=AQ1IBDB6G2RRD&psc=1
Connecting Wires,"as much as you need, can also use some wires you pull out of broken household machines",0-22.53,some wires,https://www.amazon.nl/vaste-gecoat-kleuren-vertind-Fermerry/dp/B09BFFGTLH/ref=sr_1_2_sspa?__mk_nl_NL=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=Q8SP6K9C6OOA&dib=eyJ2IjoiMSJ9.pxSsERGflq34Ldfmh0bEjWCfBFKVi2P2MkJH8n2HdjE_Z5dyhoOEvyTAs5koPEEWdsytsEFrM2svgwN4mDXVxYk6irLvgPBiF9l4sM40w70olGPXZfi5wTNxUr2Fi-xZWrQCPlXYnfglaUyYkg3AYYE1DUeBgRe95JcO6Z_Q3TDwo1Ge64b3LyJ7vFWJ34EbcPetVQ26ujkJYBIqSqCywhG0Xb_Bm56Rdi-gJTnZYQ001pfkNm8lbh4kIhD-ICU8jLYV1-Me9TufQufHN2VwoF9BJW59s9hHtkUuw-VDQ7c.6fIoBm1gA-HAufbezBpuelaU2SSmqUJJjVL_m4dBe2I&dib_tag=se&keywords=wires&qid=1786043537&sprefix=wire%2Caps%2C231&sr=8-2-spons&aref=Zewkorpsna&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
Pla and Tpu ,a roll each,about 44  ,for the prints,any online store 
drone motor,2,1.13,for the firing mechanism,https://www.aliexpress.com/p/tesla-landing/index.html?scenario=c_ppc_item_bridge&productId=1005004680039179&_immersiveMode=true&withMainCard=true&src=google-language&aff_platform=true&isdl=y&src=google&albch=shopping&acnt=272-267-0231&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en1005004680039179&ds_e_product_merchant_id=633020131&ds_e_product_country=ZZ&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=23068184797&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=23058135279&gbraid=0AAAAAoukdWMLSE4_W6v24MqJ2Zod6XktI&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSt8Xy3n7sKOUDD4jQWWoa-zlBC4TF7w6Wapi3mFO9sHIsFYWy1FlkxoC27AQAvD_BwE
power supply,1,18.5,5v 6A,https://www.amazon.nl/dp/B07P8HKFLL?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
servo,3,25.43,15kg,https://www.amazon.nl/dp/B0DHD4J3B4?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
bolts ,quite a few,10.4,m3,https://www.amazon.nl/dp/B0DQ17WWGQ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
heated inserts,quite a few,7.51,m3,https://www.amazon.nl/dp/B0CH32W3W5?ref=ppx_yo2ov_dt_b_fed_asin_title
skittles,depents how much you like skittles,2.76/pack(150g),you got to have something to fire,Local store
mosfed,1,3.83,IRL3103,https://nl.aliexpress.com/item/1005007481357436.html?spm=a2g0o.order_list.order_list_main.5.4e201802sEbdc8&gatewayAdapt=glo2nld
nail,6,5,2mm round dia,Local store
